iid,gender,age,field,field_cd,race,imprace,imprelig,goal,date,go_out,career,career_c,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,attr1_1,sinc1_1,intel1_1,fun1_1,amb1_1,shar1_1,attr2_1,sinc2_1,intel2_1,fun2_1,amb2_1,shar2_1,attr3_1,sinc3_1,intel3_1,fun3_1,amb3_1
1,0,21.0,Law,1.0,4.0,2.0,4.0,2.0,7.0,1.0,lawyer,,9.0,2.0,8.0,9.0,1.0,1.0,5.0,1.0,5.0,6.0,9.0,1.0,10.0,10.0,9.0,8.0,1.0,15.0,20.0,20.0,15.0,15.0,15.0,35.0,20.0,15.0,20.0,5.0,5.0,6.0,8.0,8.0,8.0,7.0
2,0,24.0,law,1.0,2.0,2.0,5.0,1.0,5.0,1.0,law,,3.0,2.0,7.0,10.0,8.0,6.0,3.0,5.0,8.0,10.0,1.0,9.0,8.0,7.0,8.0,3.0,1.0,45.0,5.0,25.0,20.0,0.0,5.0,65.0,0.0,10.0,25.0,0.0,0.0,7.0,5.0,8.0,10.0,3.0
3,0,25.0,Economics,2.0,2.0,8.0,4.0,6.0,3.0,1.0,Economist,,3.0,8.0,7.0,8.0,5.0,5.0,8.0,4.0,5.0,7.0,8.0,7.0,7.0,7.0,5.0,8.0,7.0,35.0,10.0,35.0,10.0,10.0,0.0,50.0,0.0,20.0,30.0,0.0,0.0,8.0,9.0,9.0,8.0,8.0
4,0,23.0,Law,1.0,2.0,1.0,1.0,1.0,5.0,1.0,lawyer/policy work,1.0,1.0,1.0,6.0,7.0,6.0,7.0,7.0,5.0,7.0,7.0,7.0,9.0,7.0,8.0,7.0,1.0,8.0,20.0,20.0,20.0,20.0,10.0,10.0,30.0,10.0,15.0,30.0,5.0,10.0,7.0,8.0,7.0,9.0,8.0
5,0,21.0,Law,1.0,2.0,8.0,1.0,2.0,4.0,1.0,lawyer,1.0,7.0,4.0,7.0,7.0,6.0,8.0,6.0,6.0,8.0,6.0,8.0,6.0,6.0,3.0,7.0,8.0,3.0,20.0,5.0,25.0,25.0,10.0,15.0,50.0,10.0,10.0,20.0,5.0,5.0,6.0,3.0,10.0,6.0,8.0
6,0,23.0,law,1.0,4.0,1.0,1.0,1.0,3.0,1.0,lawyer,1.0,10.0,8.0,9.0,7.0,8.0,7.0,9.0,2.0,6.0,9.0,2.0,5.0,6.0,6.0,4.0,1.0,1.0,10.0,25.0,20.0,25.0,5.0,15.0,25.0,10.0,10.0,25.0,10.0,20.0,5.0,7.0,9.0,8.0,5.0
7,0,22.0,Law,1.0,4.0,2.0,4.0,1.0,5.0,1.0,Law,1.0,5.0,3.0,4.0,10.0,10.0,10.0,2.0,3.0,8.0,8.0,8.0,10.0,10.0,10.0,10.0,10.0,10.0,15.0,15.0,25.0,20.0,15.0,10.0,30.0,12.0,13.0,25.0,10.0,10.0,6.0,6.0,7.0,5.0,7.0
8,0,25.0,Masters in Public Administration,13.0,2.0,1.0,1.0,1.0,5.0,1.0,Journalist,6.0,2.0,2.0,1.0,10.0,9.0,9.0,3.0,2.0,10.0,8.0,10.0,9.0,9.0,6.0,6.0,8.0,6.0,9.09,18.18,27.27,18.18,18.18,9.09,30.0,10.0,20.0,30.0,5.0,5.0,7.0,4.0,8.0,8.0,8.0
9,0,26.0,Masters in Public Administration,13.0,6.0,1.0,1.0,1.0,4.0,1.0,"Congresswoman, and comedian",9.0,4.0,3.0,1.0,8.0,6.0,7.0,2.0,2.0,10.0,8.0,8.0,10.0,10.0,9.0,9.0,8.0,3.0,20.0,10.0,20.0,30.0,10.0,10.0,30.0,20.0,10.0,20.0,10.0,10.0,7.0,6.0,7.0,10.0,7.0
10,0,26.0,Masters of Social Work&Education,13.0,2.0,4.0,4.0,2.0,6.0,1.0,To create early childhood intervention programs,9.0,9.0,9.0,9.0,7.0,6.0,6.0,7.0,1.0,7.0,8.0,5.0,6.0,7.0,7.0,8.0,7.0,7.0,15.0,15.0,15.0,40.0,10.0,5.0,45.0,10.0,15.0,20.0,5.0,5.0,6.0,8.0,6.0,10.0,9.0
11,1,27.0,Finance,8.0,2.0,7.0,3.0,1.0,5.0,4.0,"Academia, Research, Banking, Life",2.0,8.0,7.0,2.0,6.0,7.0,5.0,5.0,5.0,4.0,9.0,2.0,4.0,8.0,7.0,8.0,5.0,1.0,35.0,20.0,20.0,20.0,0.0,5.0,25.0,5.0,20.0,20.0,25.0,5.0,8.0,9.0,8.0,7.0,5.0
12,1,22.0,Law,1.0,2.0,1.0,1.0,1.0,1.0,1.0,Corporate Lawyer,1.0,9.0,7.0,9.0,8.0,7.0,6.0,3.0,3.0,5.0,6.0,6.0,4.0,7.0,7.0,9.0,5.0,5.0,60.0,0.0,0.0,40.0,0.0,0.0,25.0,15.0,25.0,20.0,15.0,0.0,9.0,9.0,10.0,9.0,9.0
13,1,22.0,Law,1.0,4.0,3.0,5.0,2.0,7.0,1.0,Lawyer,1.0,7.0,8.0,2.0,9.0,5.0,6.0,4.0,7.0,7.0,6.0,8.0,10.0,8.0,9.0,9.0,8.0,1.0,19.0,18.0,19.0,18.0,14.0,12.0,20.0,16.0,16.0,18.0,16.0,14.0,4.0,7.0,8.0,8.0,3.0
14,1,23.0,Law,1.0,2.0,1.0,1.0,2.0,4.0,1.0,Corporate attorney,1.0,10.0,6.0,8.0,8.0,3.0,3.0,10.0,8.0,8.0,6.0,7.0,3.0,10.0,6.0,8.0,6.0,1.0,30.0,5.0,15.0,40.0,5.0,5.0,20.0,15.0,20.0,20.0,5.0,20.0,9.0,9.0,9.0,9.0,9.0
15,1,24.0,Law,1.0,3.0,3.0,1.0,1.0,4.0,1.0,Lawyer,1.0,9.0,7.0,9.0,7.0,4.0,3.0,6.0,7.0,9.0,8.0,6.0,9.0,9.0,6.0,7.0,2.0,1.0,30.0,10.0,20.0,10.0,10.0,20.0,20.0,20.0,20.0,20.0,10.0,10.0,7.0,7.0,9.0,7.0,9.0
16,1,25.0,Business,8.0,2.0,9.0,2.0,1.0,5.0,1.0,research/financial industry,7.0,7.0,2.0,6.0,7.0,7.0,7.0,5.0,5.0,5.0,8.0,3.0,7.0,8.0,7.0,8.0,6.0,1.0,50.0,0.0,30.0,10.0,0.0,10.0,50.0,5.0,30.0,5.0,5.0,5.0,6.0,6.0,8.0,8.0,6.0
17,1,30.0,political science,13.0,2.0,1.0,1.0,3.0,3.0,2.0,academics or journalism,2.0,8.0,2.0,9.0,7.0,7.0,5.0,4.0,2.0,6.0,4.0,2.0,7.0,9.0,7.0,7.0,2.0,2.0,35.0,15.0,25.0,10.0,5.0,10.0,25.0,20.0,20.0,20.0,10.0,5.0,7.0,7.0,8.0,6.0,4.0
18,1,27.0,Business,8.0,2.0,8.0,8.0,1.0,6.0,1.0,Financial Services,7.0,5.0,5.0,5.0,9.0,4.0,3.0,4.0,4.0,2.0,6.0,9.0,3.0,9.0,3.0,6.0,2.0,1.0,33.33,11.11,11.11,11.11,11.11,22.22,10.0,10.0,20.0,25.0,25.0,10.0,6.0,8.0,8.0,6.0,9.0
19,1,28.0,money,8.0,2.0,1.0,1.0,4.0,1.0,1.0,ceo,7.0,10.0,10.0,10.0,10.0,5.0,5.0,6.0,7.0,9.0,8.0,1.0,1.0,7.0,7.0,7.0,7.0,10.0,50.0,0.0,25.0,10.0,0.0,15.0,40.0,15.0,20.0,10.0,10.0,5.0,10.0,6.0,10.0,10.0,10.0
20,1,24.0,Finance,8.0,2.0,1.0,1.0,1.0,1.0,1.0,CEO,7.0,10.0,10.0,10.0,10.0,9.0,9.0,4.0,10.0,10.0,8.0,3.0,8.0,8.0,6.0,6.0,5.0,10.0,100.0,0.0,0.0,0.0,0.0,0.0,50.0,10.0,10.0,10.0,10.0,10.0,7.0,7.0,10.0,10.0,10.0
21,0,21.0,Operations Research,5.0,4.0,8.0,10.0,6.0,7.0,4.0,Undecided,10.0,10.0,8.0,10.0,5.0,5.0,5.0,2.0,1.0,3.0,7.0,10.0,4.0,7.0,4.0,8.0,5.0,2.0,12.0,18.0,20.0,16.0,16.0,18.0,35.0,15.0,10.0,15.0,5.0,20.0,5.0,9.0,9.0,7.0,10.0
22,0,27.0,TC (Health Ed),9.0,1.0,1.0,2.0,1.0,6.0,2.0,Informatics,5.0,1.0,2.0,2.0,8.0,8.0,8.0,1.0,2.0,6.0,8.0,8.0,8.0,9.0,7.0,7.0,8.0,8.0,20.0,20.0,20.0,10.0,10.0,20.0,50.0,10.0,10.0,10.0,10.0,10.0,7.0,8.0,8.0,7.0,7.0
23,0,21.0,Psychology,3.0,4.0,9.0,6.0,1.0,1.0,1.0,psychologist,3.0,2.0,2.0,3.0,9.0,7.0,6.0,6.0,7.0,7.0,10.0,9.0,10.0,10.0,10.0,10.0,10.0,3.0,10.0,20.0,40.0,10.0,10.0,10.0,40.0,5.0,20.0,20.0,5.0,10.0,5.0,8.0,7.0,6.0,8.0
24,0,27.0,social work,11.0,2.0,2.0,3.0,2.0,6.0,4.0,health/nutrition oriented social worker,9.0,10.0,1.0,10.0,9.0,6.0,6.0,10.0,6.0,3.0,6.0,1.0,6.0,9.0,8.0,8.0,6.0,7.0,10.0,20.0,20.0,15.0,20.0,15.0,35.0,10.0,15.0,20.0,10.0,10.0,7.0,9.0,8.0,9.0,8.0
25,0,25.0,Social Work,11.0,2.0,10.0,2.0,1.0,5.0,2.0,Social Worker,9.0,7.0,4.0,7.0,7.0,6.0,3.0,5.0,6.0,8.0,9.0,9.0,7.0,10.0,6.0,8.0,8.0,4.0,20.0,20.0,15.0,15.0,15.0,15.0,30.0,15.0,10.0,20.0,10.0,15.0,7.0,9.0,8.0,7.0,6.0
26,0,23.0,Social Work,11.0,2.0,2.0,4.0,1.0,5.0,2.0,Social work with children,9.0,9.0,4.0,9.0,7.0,7.0,4.0,6.0,5.0,7.0,5.0,3.0,9.0,9.0,6.0,4.0,5.0,1.0,20.0,20.0,20.0,15.0,15.0,10.0,25.0,10.0,10.0,25.0,20.0,10.0,7.0,8.0,8.0,8.0,8.0
27,0,22.0,Speech Language Pathology,3.0,3.0,1.0,5.0,1.0,6.0,2.0,Speech Language Pathologist,9.0,7.0,6.0,8.0,8.0,7.0,6.0,8.0,7.0,8.0,8.0,5.0,5.0,5.0,5.0,7.0,7.0,8.0,17.0,10.0,18.0,20.0,25.0,10.0,30.0,5.0,15.0,20.0,10.0,20.0,6.0,6.0,7.0,7.0,7.0
29,0,22.0,Social Work,11.0,2.0,4.0,5.0,1.0,6.0,1.0,Social Work Administration,9.0,8.0,9.0,7.0,7.0,7.0,6.0,2.0,2.0,7.0,7.0,7.0,5.0,7.0,6.0,8.0,9.0,5.0,20.0,22.0,18.0,15.0,15.0,10.0,35.0,15.0,10.0,20.0,15.0,5.0,6.0,9.0,7.0,8.0,8.0
30,0,23.0,Law,1.0,2.0,2.0,4.0,1.0,7.0,2.0,Lawyer,1.0,5.0,6.0,8.0,7.0,4.0,4.0,2.0,1.0,7.0,8.0,5.0,7.0,7.0,7.0,9.0,6.0,4.0,10.0,20.0,20.0,20.0,20.0,10.0,35.0,5.0,15.0,20.0,10.0,15.0,7.0,8.0,8.0,9.0,8.0
31,0,24.0,law,1.0,2.0,4.0,8.0,1.0,4.0,3.0,law,1.0,3.0,3.0,7.0,10.0,7.0,7.0,7.0,2.0,6.0,6.0,8.0,8.0,8.0,6.0,7.0,10.0,6.0,35.0,10.0,20.0,20.0,10.0,5.0,40.0,10.0,10.0,25.0,5.0,10.0,8.0,8.0,8.0,9.0,9.0
32,0,27.0,Psychology,3.0,4.0,1.0,1.0,1.0,4.0,2.0,Professor,2.0,4.0,1.0,5.0,9.0,5.0,5.0,1.0,2.0,4.0,9.0,6.0,6.0,7.0,5.0,8.0,10.0,9.0,50.0,0.0,50.0,0.0,0.0,0.0,95.0,0.0,0.0,5.0,0.0,0.0,7.0,5.0,9.0,9.0,7.0
33,0,30.0,Educational Psychology,3.0,2.0,4.0,8.0,6.0,6.0,1.0,Clidren's TV,6.0,4.0,6.0,10.0,7.0,8.0,6.0,6.0,8.0,6.0,10.0,10.0,8.0,8.0,6.0,6.0,7.0,9.0,30.0,20.0,30.0,10.0,0.0,10.0,95.0,1.0,1.0,1.0,1.0,1.0,6.0,8.0,8.0,6.0,8.0
34,0,21.0,Applied Maths/Econs,8.0,4.0,2.0,2.0,1.0,6.0,2.0,Banking,7.0,7.0,6.0,6.0,7.0,4.0,4.0,5.0,4.0,7.0,7.0,6.0,9.0,10.0,7.0,7.0,7.0,7.0,30.0,5.0,30.0,15.0,15.0,5.0,20.0,20.0,25.0,20.0,5.0,10.0,7.0,7.0,7.0,7.0,8.0
35,0,25.0,Mathematics,2.0,2.0,9.0,7.0,1.0,6.0,3.0,Capital Markets,7.0,9.0,7.0,9.0,8.0,8.0,8.0,5.0,6.0,9.0,7.0,9.0,8.0,8.0,7.0,7.0,8.0,3.0,20.0,23.0,23.0,22.0,7.0,5.0,40.0,10.0,15.0,15.0,10.0,10.0,8.0,9.0,9.0,9.0,7.0
